date,open,high,low,close,volume,average,barCount
2011-08-08,2.94,2.94,2.94,2.94,0.0,2.94,0
2011-08-10,2.89,2.89,2.89,2.89,0.0,2.89,0
2011-08-11,2.88,2.88,2.88,2.88,0.0,2.88,0
2011-08-12,2.88,2.88,2.88,2.88,0.0,2.88,0
2011-08-15,2.93,2.93,2.93,2.93,0.0,2.93,0
2011-08-16,2.88,2.88,2.88,2.88,0.0,2.88,0
2011-08-17,2.89,2.89,2.89,2.89,0.0,2.89,0
2011-08-18,2.88,2.88,2.88,2.88,0.0,2.88,0
2011-08-19,2.79,2.79,2.79,2.79,0.0,2.79,0
2011-08-22,2.81,2.81,2.81,2.81,0.0,2.81,0
2011-08-23,2.84,2.84,2.84,2.84,0.0,2.84,0
2011-08-24,2.8,2.8,2.8,2.8,0.0,2.8,0
2011-08-25,2.82,2.84,2.82,2.83,208000.0,2.8292,43
2011-08-26,2.82,2.82,2.8,2.81,91000.0,2.8111,38
2011-08-29,2.83,2.86,2.83,2.85,155000.0,2.8448,42
2011-08-31,2.86,2.93,2.86,2.93,754000.0,2.8841,90
2011-09-01,2.95,2.97,2.92,2.92,473000.0,2.9521,85
2011-09-02,2.92,2.92,2.89,2.89,173000.0,2.9023,35
2011-09-05,2.85,2.86,2.81,2.83,254000.0,2.8274,72
2011-09-06,2.8,2.85,2.79,2.85,229000.0,2.8113,51
2011-09-07,2.87,2.9,2.86,2.9,257000.0,2.8844,37
2011-09-08,2.93,2.93,2.87,2.9,166000.0,2.888,32
2011-09-09,2.9,2.91,2.89,2.89,71000.0,2.9011,21
2011-09-12,2.84,2.84,2.8,2.8,668000.0,2.809,121
2011-09-13,2.83,2.87,2.81,2.81,229000.0,2.8242,42
2011-09-14,2.84,2.85,2.77,2.81,215000.0,2.7928,58
2011-09-15,2.85,2.85,2.81,2.83,574000.0,2.8293,29
2011-09-16,2.85,2.86,2.85,2.85,76000.0,2.8533,29
2011-09-19,2.85,2.85,2.81,2.82,160000.0,2.8223,27
2011-09-20,2.82,2.83,2.82,2.83,28000.0,2.8254,15
2011-09-21,2.83,2.86,2.82,2.85,39000.0,2.8454,13
2011-09-22,2.81,2.81,2.78,2.78,253000.0,2.7956,84
2011-09-23,2.73,2.77,2.73,2.76,411000.0,2.7461,195
2011-09-26,2.75,2.76,2.68,2.71,591000.0,2.7071,270
2011-09-27,2.74,2.79,2.74,2.79,201000.0,2.7654,51
2011-09-28,2.79,2.79,2.75,2.77,295000.0,2.7713,31
2011-09-29,2.73,2.77,2.73,2.75,52000.0,2.7473,24
2011-09-30,2.75,2.75,2.72,2.72,265000.0,2.7353,99
2011-10-03,2.68,2.7,2.66,2.68,551000.0,2.6754,129
2011-10-04,2.64,2.65,2.6,2.61,865000.0,2.6236,193
2011-10-05,2.62,2.63,2.59,2.6,925000.0,2.6052,107
2011-10-06,2.63,2.66,2.63,2.66,320000.0,2.6548,71
2011-10-07,2.67,2.73,2.67,2.69,759000.0,2.6964,102
2011-10-10,2.72,2.73,2.7,2.72,392000.0,2.7093,41
2011-10-11,2.76,2.78,2.76,2.76,205000.0,2.7719,61
2011-10-12,2.76,2.8,2.73,2.8,245000.0,2.7699,58
2011-10-13,2.79,2.82,2.79,2.81,209000.0,2.8033,39
2011-10-14,2.77,2.8,2.77,2.79,119000.0,2.7817,19
2011-10-17,2.81,2.84,2.8,2.84,207000.0,2.8274,49
2011-10-18,2.8,2.8,2.76,2.78,99000.0,2.7851,21
2011-10-19,2.8,2.8,2.77,2.77,303000.0,2.7975,32
2011-10-20,2.77,2.77,2.74,2.75,105000.0,2.7601,24
2011-10-21,2.77,2.78,2.77,2.78,138000.0,2.7707,15
2011-10-24,2.8,2.83,2.8,2.83,492000.0,2.8192,35
2011-10-25,2.83,2.83,2.81,2.83,140000.0,2.8242,32
2011-10-27,2.85,2.92,2.85,2.91,427000.0,2.8933,103
2011-10-28,2.95,2.96,2.92,2.95,694000.0,2.943,135
2011-10-31,2.96,2.96,2.91,2.91,589000.0,2.9261,60
