date,open,high,low,close,volume,average,barCount
2011-08-08,2.94,2.94,2.94,2.94,0.0,2.94,0
2011-08-10,2.91,2.91,2.91,2.91,0.0,2.91,0
2011-08-11,2.84,2.84,2.84,2.84,0.0,2.84,0
2011-08-12,2.9,2.9,2.9,2.9,0.0,2.9,0
2011-08-15,2.93,2.93,2.93,2.93,0.0,2.93,0
2011-08-16,2.89,2.89,2.89,2.89,0.0,2.89,0
2011-08-17,2.89,2.89,2.89,2.89,0.0,2.89,0
2011-08-18,2.89,2.89,2.89,2.89,0.0,2.89,0
2011-08-19,2.81,2.81,2.81,2.81,0.0,2.81,0
2011-08-22,2.77,2.77,2.77,2.77,0.0,2.77,0
2011-08-23,2.82,2.82,2.82,2.82,0.0,2.82,0
2011-08-24,2.81,2.81,2.81,2.81,0.0,2.81,0
2011-08-25,2.83,2.84,2.82,2.84,529900.0,2.8299,11
2011-08-26,2.87,2.92,2.82,2.83,2551700.0,2.8304,45
2011-08-29,2.84,2.86,2.84,2.85,76000.0,2.8506,11
2011-08-31,2.85,2.94,2.85,2.94,1126600.0,2.8516,35
2011-09-01,2.93,2.96,2.91,2.91,406800.0,2.9359,34
2011-09-02,2.92,2.92,2.89,2.89,38600.0,2.9174,6
2011-09-05,2.85,2.85,2.81,2.83,158900.0,2.8284,23
2011-09-06,2.83,2.83,2.78,2.8,16400.0,2.7993,10
2011-09-07,2.87,2.9,2.86,2.88,89300.0,2.891,9
2011-09-09,2.89,2.91,2.89,2.9,209400.0,2.8976,11
2011-09-12,2.85,2.89,2.8,2.81,48100.0,2.808,33
2011-09-13,2.87,2.89,2.8,2.8,1895700.0,2.8601,48
2011-09-14,2.85,2.95,2.77,2.8,68000.0,2.8064,42
2011-09-15,2.84,2.84,2.8,2.81,74400.0,2.8171,100
2011-09-16,2.86,2.86,2.85,2.86,7300.0,2.8593,6
2011-09-19,2.84,2.84,2.82,2.82,5500.0,2.8315,6
2011-09-20,2.8,2.82,2.8,2.82,179600.0,2.8064,15
2011-09-21,2.84,2.84,2.84,2.84,2600.0,2.84,2
2011-09-22,2.8,2.8,2.79,2.79,12800.0,2.791,14
2011-09-23,2.75,2.75,2.72,2.75,603300.0,2.7392,42
2011-09-26,2.75,2.75,2.69,2.71,81400.0,2.7175,23
2011-09-27,2.75,2.78,2.75,2.78,19300.0,2.766,8
2011-09-28,2.78,2.78,2.75,2.77,3500.0,2.7614,4
2011-09-29,2.74,2.74,2.74,2.74,250000.0,2.74,1
2011-09-30,2.74,2.74,2.71,2.72,184300.0,2.7122,11
2011-10-03,2.71,2.71,2.66,2.67,123500.0,2.6857,32
