date,open,high,low,close,volume,average,barCount
2004-11-18,44.43,44.44,44.07,44.38,5345000.0,44.259,2074
2004-11-19,44.49,44.92,44.47,44.79,7200400.0,44.742,2576
2004-11-22,44.75,44.97,44.75,44.97,10801000.0,44.856,1895
2004-11-23,44.85,44.92,44.73,44.76,2067900.0,44.841,1093
2004-11-24,44.93,45.05,44.8,45.01,4771700.0,44.896,1156
2004-11-26,45.25,45.6,45.06,45.3,2428300.0,45.278,995
2004-11-29,45.1,45.5,45.08,45.4,2957000.0,45.294,1310
2004-11-30,45.37,45.4,44.83,45.12,2614200.0,45.117,1160
2004-12-01,45.3,45.58,45.26,45.38,1442000.0,45.387,953
2004-12-02,45.55,45.57,44.7,44.95,3344100.0,45.095,1182
2004-12-03,45.04,45.65,44.8,45.58,2148300.0,45.294,930
2004-12-06,45.39,45.47,45.11,45.23,2077500.0,45.326,883
2004-12-07,45.31,45.32,45.07,45.09,2588300.0,45.195,883
2004-12-08,43.89,44.0,43.37,43.97,3620700.0,43.699,1547
2004-12-09,43.75,43.82,43.27,43.78,2101900.0,43.659,875
2004-12-10,43.37,43.6,43.31,43.48,1722400.0,43.476,888
2004-12-13,43.61,44.01,43.52,43.9,1088500.0,43.809,583
2004-12-14,43.76,43.8,43.51,43.54,1876100.0,43.676,657
2004-12-15,44.1,44.17,43.92,43.99,1718100.0,44.03,700
2004-12-16,43.99,44.05,43.58,43.68,1830800.0,43.852,530
2004-12-17,43.93,44.22,43.78,44.18,1130400.0,44.001,466
2004-12-20,44.33,44.37,44.13,44.34,854800.0,44.282,425
2004-12-21,44.13,44.24,44.07,44.21,643600.0,44.142,304
2004-12-22,44.2,44.23,43.89,44.02,1336700.0,44.012,431
2004-12-23,44.17,44.35,44.05,44.29,448500.0,44.18,386
2004-12-27,44.29,44.56,44.27,44.48,1244400.0,44.402,481
2004-12-28,44.42,44.47,44.29,44.39,629600.0,44.373,484
2004-12-29,43.92,44.02,43.38,43.68,2826600.0,43.687,786
2004-12-30,43.5,43.87,43.49,43.83,941900.0,43.687,618
2004-12-31,43.85,43.94,43.75,43.84,380700.0,43.856,416
2005-01-03,42.98,43.16,42.75,43.04,1876400.0,42.984,750
