date,open,high,low,close,volume,average,barCount
2024-01-11,27.91,30.0,26.28,26.63,13772377.0,27.699,26761
2024-01-12,26.4,26.41,24.75,24.97,5756164.0,25.495,12209
2024-01-16,24.7,24.85,24.05,24.72,2877769.0,24.622,5790
2024-01-17,24.34,24.54,24.16,24.41,4330405.0,24.314,4745
2024-01-18,24.35,24.47,23.2,23.34,4412835.0,23.993,6716
2024-01-19,23.52,24.12,23.04,23.8,4164832.0,23.445,7589
2024-01-22,23.25,23.33,22.51,22.95,2659307.0,23.086,6805
2024-01-23,22.19,22.63,22.02,22.32,2631843.0,22.261,5462
2024-01-24,22.82,22.97,22.58,22.6,2364271.0,22.823,3807
2024-01-25,22.85,22.9,22.58,22.76,1258438.0,22.766,3499
2024-01-26,23.53,24.12,23.49,23.99,2272399.0,23.788,6424
2024-01-29,23.99,24.77,23.89,24.67,4650952.0,24.244,6395
2024-01-30,24.84,24.98,24.69,24.88,4273106.0,24.809,7685
2024-01-31,24.38,24.99,24.27,24.3,3865146.0,24.663,6492
2024-02-01,24.21,24.72,24.19,24.54,3659577.0,24.397,5862
2024-02-02,24.38,24.83,24.38,24.5,3464269.0,24.64,4393
2024-02-05,24.75,24.79,24.13,24.19,1238076.0,24.497,2542
2024-02-06,24.48,24.76,24.45,24.6,1187235.0,24.614,2940
2024-02-07,24.66,25.29,24.49,25.22,2580819.0,24.883,5001
2024-02-08,25.75,26.08,25.64,26.03,3363766.0,25.86,6799
2024-02-09,26.86,27.57,26.75,27.15,3871826.0,27.09,7260
2024-02-12,27.54,28.86,27.52,28.66,5581106.0,28.322,14352
2024-02-13,27.97,28.28,27.62,28.22,3747201.0,27.942,6680
2024-02-14,29.57,29.83,29.24,29.55,5267746.0,29.567,9462
2024-02-15,30.0,30.23,29.48,29.52,6082787.0,29.932,7816
2024-02-16,29.84,29.96,29.49,29.62,3036791.0,29.716,5487
2024-02-20,29.87,29.92,28.97,29.67,4774431.0,29.589,8973
2024-02-21,29.05,29.35,28.91,29.08,3304103.0,29.133,6502
2024-02-22,29.17,29.75,29.13,29.72,2987020.0,29.458,6292
2024-02-23,29.27,29.31,28.91,29.16,2104365.0,29.133,5277
2024-02-26,29.38,31.42,29.34,31.12,9710499.0,30.485,17158
2024-02-27,32.54,32.96,32.17,32.59,8023802.0,32.592,16224
2024-02-28,34.4,36.78,33.81,34.45,22447914.0,34.941,41561
2024-02-29,36.2,36.38,34.47,35.42,11594158.0,35.483,21861
2024-03-01,35.66,36.17,34.94,35.99,7490175.0,35.469,12873
2024-03-04,37.4,38.89,37.4,38.65,13137638.0,38.13,33254
2024-03-05,38.66,39.68,34.03,35.32,25820623.0,37.049,59499
2024-03-06,38.16,38.59,37.29,38.29,8558974.0,38.124,20681
2024-03-07,38.5,38.94,38.08,38.63,8307693.0,38.592,20831
2024-03-08,38.94,40.2,37.77,39.55,22857121.0,39.012,52547
2024-03-11,41.31,41.65,40.74,41.12,13987457.0,41.259,31596
2024-03-12,41.29,41.79,39.21,40.73,18216806.0,40.659,50972
2024-03-13,41.54,41.98,40.93,41.95,11414995.0,41.524,24607
2024-03-14,41.49,41.52,39.01,39.51,26974001.0,40.368,53160
2024-03-15,38.66,40.32,38.44,39.39,16122084.0,39.153,30750
2024-03-18,38.81,39.13,37.94,38.14,9052063.0,38.379,20065
2024-03-19,36.37,37.52,35.49,36.7,14540739.0,36.441,30451
2024-03-20,36.18,37.69,35.41,37.55,17788725.0,36.6,35452
2024-03-21,38.6,38.61,37.0,37.15,12765467.0,38.04,21560
2024-03-22,36.6,36.69,35.71,36.41,7514328.0,36.223,16402
2024-03-25,38.19,40.62,38.19,40.55,13348085.0,39.708,30640
2024-03-26,40.43,40.51,39.54,39.63,11109650.0,39.996,25613
2024-03-27,40.91,40.97,39.02,39.13,9139395.0,39.723,24888
2024-03-28,40.56,40.96,40.22,40.47,8544609.0,40.635,18987
2024-04-01,39.96,40.03,38.84,39.75,6519276.0,39.47,15960
2024-04-02,37.01,37.84,36.8,37.6,6396438.0,37.342,17611
2024-04-03,37.5,38.2,37.38,37.54,5221098.0,37.777,14193
2024-04-04,38.42,39.6,38.3,39.08,8131165.0,38.879,18474
2024-04-05,38.17,39.16,38.12,38.41,4633022.0,38.612,11854
2024-04-08,41.16,41.2,40.62,40.95,6689160.0,40.95,14827
2024-04-09,40.32,40.49,38.91,39.33,6270225.0,39.538,17942
2024-04-10,38.59,40.0,38.47,40.0,6732870.0,39.28,17393
2024-04-11,40.35,40.45,39.66,40.17,4979286.0,39.959,15158
2024-04-12,40.01,40.09,37.17,38.14,12348935.0,38.676,32973
2024-04-15,37.78,37.95,35.54,36.08,8614011.0,36.776,21706
2024-04-16,36.02,36.13,35.16,35.75,8340227.0,35.633,16690
2024-04-17,35.57,35.92,33.99,34.76,10590275.0,34.8,26967
2024-04-18,35.58,36.61,35.28,36.21,6751086.0,36.095,13769
2024-04-19,36.95,37.15,36.25,36.67,7689760.0,36.729,15724
2024-04-22,37.69,38.15,37.45,37.93,6009132.0,37.799,10350
2024-04-23,37.73,38.31,37.69,37.9,3850207.0,38.004,8200
2024-04-24,37.63,37.83,36.29,36.41,6159210.0,37.012,12539
2024-04-25,35.96,36.98,35.79,36.86,5290827.0,36.486,9155
2024-04-26,36.35,36.92,36.06,36.32,5121832.0,36.445,9242
2024-04-29,35.59,36.0,35.15,35.87,4753306.0,35.651,8828
2024-04-30,34.83,35.01,33.55,33.57,9383139.0,34.361,16829
2024-05-01,32.81,33.82,32.2,32.39,8238296.0,32.797,18826
2024-05-02,33.45,33.96,33.17,33.8,4296784.0,33.604,8405
2024-05-03,34.9,35.5,34.86,35.4,5125044.0,35.196,9727
2024-05-06,36.25,36.61,35.74,36.01,5467515.0,36.16,9693
2024-05-07,36.2,36.68,35.79,35.93,2022979.0,36.17,6172
2024-05-08,35.32,35.79,35.17,35.38,1955977.0,35.49,5204
2024-05-09,34.94,35.75,34.67,35.58,2651041.0,35.266,6761
2024-05-10,35.8,36.0,34.27,34.58,5565725.0,34.849,11797
2024-05-13,35.77,36.19,35.65,36.0,3282579.0,35.872,6751
2024-05-14,35.32,35.49,34.81,35.07,2120141.0,35.099,6040
2024-05-15,36.66,37.93,36.46,37.67,6821672.0,37.102,15343
2024-05-16,37.66,37.91,36.83,37.15,4210010.0,37.402,8917
2024-05-17,37.84,38.53,37.54,38.28,3916636.0,38.114,9493
2024-05-20,38.21,40.05,38.07,39.97,7104567.0,39.041,15173
2024-05-21,40.46,40.67,39.4,39.47,5035127.0,40.067,10074
2024-05-22,39.76,40.32,39.45,39.71,2982526.0,39.839,7885
2024-05-23,39.49,39.57,38.02,38.27,4319918.0,38.634,11033
2024-05-24,38.43,39.58,38.16,39.46,4603194.0,39.028,9850
2024-05-28,38.99,39.1,38.31,38.98,4013436.0,38.765,9826
2024-05-29,38.65,38.74,38.25,38.32,3422661.0,38.487,8523
2024-05-30,38.89,39.69,38.79,39.16,4314369.0,39.227,10127
2024-05-31,39.17,39.23,37.92,38.55,4728337.0,38.455,9681
2024-06-03,39.77,40.12,39.09,39.44,5711749.0,39.605,11860
2024-06-04,39.6,40.59,39.48,40.17,8133503.0,40.087,14902
2024-06-05,40.59,41.0,40.12,40.67,6730486.0,40.633,12408
2024-06-06,40.58,40.89,40.14,40.16,3769286.0,40.538,8372
2024-06-07,40.71,40.89,38.9,39.42,8592819.0,39.81,16046
2024-06-10,39.47,40.02,39.4,39.59,3958173.0,39.716,7050
2024-06-11,38.28,38.53,37.62,38.43,6231676.0,38.049,10168
2024-06-12,39.48,39.96,38.31,38.45,6524668.0,39.302,13778
2024-06-13,38.77,38.93,37.68,37.9,6911837.0,38.134,13765
2024-06-14,38.37,38.39,37.02,37.3,5641689.0,37.582,10991
2024-06-17,37.39,38.34,37.02,37.98,4097446.0,37.547,8420
2024-06-18,36.93,37.22,36.44,36.64,5593071.0,36.781,10570
2024-06-20,37.21,37.3,36.73,37.04,4408670.0,36.991,7001
2024-06-21,36.2,36.67,36.07,36.58,2963138.0,36.347,6276
2024-06-24,34.88,35.14,33.59,33.77,10136536.0,34.377,16247
2024-06-25,34.88,35.56,34.73,35.3,6124533.0,35.147,12550
2024-06-26,35.05,35.32,34.56,34.71,2646689.0,34.881,7592
2024-06-27,35.08,35.56,34.93,34.98,3020417.0,35.192,9452
2024-06-28,35.0,35.23,34.1,34.14,3918675.0,34.557,7708
2024-07-01,35.83,36.4,35.59,36.0,3181247.0,35.998,7879
2024-07-02,35.81,35.97,35.16,35.22,2595796.0,35.426,5190
2024-07-03,34.35,34.6,34.11,34.44,2049690.0,34.366,3471
2024-07-05,31.68,32.53,31.57,32.2,10531667.0,32.009,19040
2024-07-08,32.6,32.72,31.35,32.16,6984309.0,32.044,15603
2024-07-09,32.62,33.24,32.45,32.96,3359721.0,32.833,8801
2024-07-10,33.06,33.09,32.67,32.67,3141679.0,32.88,7232
2024-07-11,33.53,33.64,32.57,32.7,4394325.0,33.019,9366
2024-07-12,32.8,33.41,32.78,32.85,3887715.0,33.054,8289
2024-07-15,35.79,36.46,35.62,36.15,6493838.0,36.087,13238
2024-07-16,36.43,37.21,35.98,37.17,5067835.0,36.663,11849
2024-07-17,36.88,37.29,36.4,36.84,7807487.0,36.84,15069
2024-07-18,37.01,37.06,36.03,36.22,4810120.0,36.386,10724
2024-07-19,36.56,38.53,36.5,38.4,8619399.0,37.841,20358
2024-07-22,38.56,38.95,37.95,38.93,4997052.0,38.477,11432
2024-07-23,37.93,38.4,37.28,37.34,6997239.0,37.811,16035
2024-07-24,38.0,38.28,37.36,37.42,3822349.0,37.823,10174
2024-07-25,36.62,37.14,36.1,36.83,4293964.0,36.689,12370
2024-07-26,38.46,38.89,38.14,38.79,4513112.0,38.55,13214
2024-07-29,39.72,39.74,37.84,38.34,7289284.0,38.857,18746
2024-07-30,37.98,38.14,37.32,37.55,3563748.0,37.606,10903
2024-07-31,37.86,38.08,37.0,37.18,3776787.0,37.612,9822
2024-08-01,36.8,36.98,35.43,36.07,8200196.0,35.945,19403
2024-08-02,36.93,37.31,35.5,35.61,8338146.0,36.171,19551
2024-08-05,28.34,31.65,28.23,30.48,16482384.0,30.129,45745
2024-08-06,31.42,32.53,31.0,32.34,7273417.0,32.037,20439
2024-08-07,32.68,32.79,31.12,31.19,5069801.0,31.879,13764
2024-08-08,32.94,34.14,32.31,33.88,6247043.0,33.572,17921
2024-08-09,34.41,34.83,33.93,34.6,2864700.0,34.348,10099
