date,open,high,low,close,volume,average,barCount
2012-05-18,42.0,42.99,38.0,38.2,234508400.0,40.557,587571
2012-05-21,36.53,36.66,33.0,34.03,50605900.0,34.512,135699
2012-05-22,32.66,33.59,30.95,31.0,22984200.0,31.985,79414
2012-05-23,31.37,32.5,31.36,32.0,14181000.0,31.884,57807
2012-05-24,32.98,33.2,31.78,33.03,9064500.0,32.518,36253
2012-05-25,32.9,32.95,31.11,31.91,9147000.0,31.932,36814
2012-05-29,31.46,31.69,28.65,28.84,17807400.0,29.831,72082
2012-05-30,28.73,29.55,27.86,28.19,13053500.0,28.652,52443
2012-05-31,28.56,29.64,26.83,29.6,24252600.0,27.996,95512
2012-06-01,28.92,29.15,27.39,27.72,8479800.0,28.107,38893
2012-06-04,27.2,27.65,26.44,26.9,8992800.0,27.047,39666
2012-06-05,26.7,27.76,25.76,25.87,9237200.0,26.548,44003
2012-06-06,26.12,27.17,25.52,26.81,14554700.0,26.282,67450
2012-06-07,26.97,27.34,26.15,26.31,6038400.0,26.683,25561
2012-06-08,26.57,27.75,26.44,27.1,7773500.0,27.166,37069
2012-06-11,27.16,28.07,26.84,27.0,7290300.0,27.481,34748
2012-06-12,27.45,27.77,26.96,27.4,4114300.0,27.351,20338
2012-06-13,27.66,28.1,27.1,27.27,4712900.0,27.507,23472
2012-06-14,27.65,28.32,27.38,28.29,4334900.0,27.805,18387
2012-06-15,28.52,30.1,28.38,30.02,8789600.0,29.221,30115
2012-06-18,29.94,32.08,29.41,31.41,10698700.0,31.037,44742
2012-06-19,31.56,32.18,30.7,31.91,6080500.0,31.602,27710
2012-06-20,31.92,31.92,31.15,31.6,3304000.0,31.598,15913
2012-06-21,31.67,32.5,31.51,31.84,4906200.0,31.946,22048
2012-06-22,32.41,33.45,32.06,33.05,12670600.0,32.923,43804
2012-06-25,32.88,33.02,31.55,32.06,5628500.0,32.284,23406
2012-06-26,32.69,33.43,32.5,33.1,4942700.0,32.993,22483
2012-06-27,32.46,32.9,31.9,32.23,6094900.0,32.317,22093
2012-06-28,31.96,32.19,30.94,31.36,3920700.0,31.491,17458
2012-06-29,31.92,31.98,30.77,31.1,4424300.0,31.249,18215
2012-07-02,31.23,31.73,30.55,30.77,2803700.0,30.996,12357
2012-07-03,30.92,31.44,30.8,31.2,1818100.0,31.159,7547
2012-07-05,31.32,31.62,31.03,31.47,2047200.0,31.3,9311
2012-07-06,31.44,31.9,31.26,31.73,2171400.0,31.557,10723
2012-07-09,32.1,32.88,31.99,32.17,3482000.0,32.42,16579
2012-07-10,32.45,32.48,31.16,31.47,3353500.0,31.847,14296
2012-07-11,31.48,31.56,30.55,30.97,2519000.0,31.036,12890
2012-07-12,30.7,31.4,30.6,30.81,2553500.0,30.98,13266
2012-07-13,31.05,31.06,30.56,30.72,1588200.0,30.759,7716
2012-07-16,30.5,30.5,28.21,28.25,4724200.0,29.19,19351
2012-07-17,28.5,28.58,27.15,28.09,6125600.0,27.772,27532
