date,open,high,low,close,volume,average,barCount
1997-01-02,83.13,83.13,80.75,81.63,6802400.0,81.625,1
1997-01-03,82.25,84.75,82.0,84.63,5515500.0,84.625,1
1997-01-06,84.63,85.25,83.13,84.38,6993600.0,84.375,1
1997-01-07,84.5,85.13,83.38,85.0,4610100.0,85.0,1
1997-01-08,85.0,85.23,83.13,83.38,6324200.0,83.375,1
1997-01-09,83.75,83.75,82.25,82.38,5970600.0,82.375,1
1997-01-10,82.0,84.38,81.63,84.25,8322300.0,84.25,1
1997-01-13,85.13,85.5,83.5,83.75,6295200.0,83.75,1
1997-01-14,84.25,86.63,84.25,85.38,7966000.0,85.375,1
1997-01-15,85.63,86.25,84.38,84.63,6632300.0,84.625,1
1997-01-16,85.0,87.13,85.0,86.0,7336000.0,86.0,1
1997-01-17,85.63,87.75,85.5,87.13,8171100.0,87.125,1
1997-01-20,87.0,92.88,86.63,90.75,18277600.0,90.75,1
1997-01-21,90.63,95.06,89.63,95.0,14324000.0,95.0,1
1997-01-22,95.13,98.5,94.63,97.38,16157600.0,97.375,1
1997-01-23,98.13,99.75,94.5,94.75,13165000.0,94.75,1
1997-01-24,95.13,97.75,94.38,95.94,11227700.0,95.938,1
1997-01-27,96.5,97.39,95.5,96.13,6657900.0,96.125,1
1997-01-28,98.38,98.75,94.75,95.63,8082200.0,95.625,1
1997-01-29,96.75,97.38,95.75,97.25,6116700.0,97.25,1
1997-01-30,98.25,101.25,97.75,101.13,9993300.0,101.125,1
1997-01-31,101.88,103.25,100.88,102.0,10816200.0,102.0,1
1997-02-03,102.63,103.39,101.13,102.38,7600600.0,102.375,1
1997-02-04,102.38,103.25,100.5,103.13,7058000.0,103.125,1
1997-02-05,103.13,103.5,96.88,98.38,13762400.0,98.375,1
1997-02-06,98.25,98.38,96.0,97.13,12765300.0,97.125,1
1997-02-07,98.38,100.5,97.5,100.38,7806000.0,100.375,1
1997-02-10,100.75,101.5,97.63,97.75,8351600.0,97.75,1
1997-02-11,98.25,98.63,95.13,98.5,11105200.0,98.5,1
1997-02-12,98.38,100.0,97.5,99.88,9001200.0,99.875,1
1997-02-13,100.5,101.13,99.38,100.0,7284700.0,100.0,1
1997-02-14,99.38,100.5,97.63,97.88,7174400.0,97.875,1
1997-02-18,97.63,97.88,96.13,97.38,6568300.0,97.375,1
1997-02-19,97.38,98.13,96.5,97.5,7047900.0,97.5,1
1997-02-20,96.88,97.5,95.13,95.25,9424400.0,95.25,1
1997-02-21,94.88,95.38,94.0,95.0,7641400.0,95.0,1
1997-02-24,94.25,100.25,94.0,100.13,8574900.0,100.125,1
1997-02-25,100.0,101.02,98.88,99.5,7992700.0,99.5,1
1997-02-26,99.5,100.38,98.38,100.25,6117400.0,100.25,1
1997-02-27,100.25,100.25,96.0,96.13,7078600.0,96.125,1
1997-02-28,96.13,98.38,95.44,97.5,9801500.0,97.5,1
1997-03-03,97.0,100.13,96.63,99.5,6734300.0,99.5,1
1997-03-04,99.25,100.13,98.63,99.13,7990100.0,99.125,1
1997-03-05,99.5,101.0,99.25,100.88,5799200.0,100.875,1
1997-03-06,100.75,100.88,97.73,97.75,7127300.0,97.75,1
1997-03-07,98.38,99.5,96.5,96.75,5754000.0,96.75,1
1997-03-10,97.13,100.13,95.94,100.0,5749700.0,100.0,1
1997-03-11,99.63,100.56,98.38,98.38,5947200.0,98.38,1
1997-03-12,97.75,99.5,97.75,98.75,5404300.0,98.75,1
1997-03-13,98.25,100.13,98.0,99.63,5688200.0,99.625,1
1997-03-14,99.75,100.25,98.88,99.0,7665900.0,99.0,1
1997-03-17,98.5,100.75,98.0,100.5,10494800.0,100.5,1
1997-03-18,100.63,100.81,98.88,99.63,7375900.0,99.625,1
1997-03-19,97.75,98.25,94.94,96.75,13927600.0,96.75,1
1997-03-20,96.63,97.75,95.0,96.0,10176300.0,96.0,1
1997-03-21,96.5,97.13,92.88,94.0,10728700.0,94.0,1
1997-03-24,93.13,93.5,87.5,90.13,23283700.0,90.125,1
1997-03-25,90.63,91.38,88.88,90.31,11214100.0,90.312,1
1997-03-26,90.75,94.63,90.63,94.25,10158800.0,94.25,1
1997-03-27,95.13,96.13,91.0,93.75,11740900.0,93.75,1
1997-03-31,93.13,94.5,91.25,91.69,11728200.0,91.688,1
1997-04-01,90.13,93.75,89.75,93.25,10835500.0,93.25,1
1997-04-02,92.88,93.63,91.0,92.0,7916300.0,92.0,1
1997-04-03,91.0,95.38,90.63,95.13,11531600.0,95.125,1
1997-04-04,93.75,96.75,93.75,94.19,11870400.0,94.188,1
1997-04-07,95.63,97.63,95.0,95.88,9563400.0,95.875,1
1997-04-08,96.63,98.25,95.5,98.25,6666400.0,98.25,1
1997-04-09,99.13,99.25,97.75,98.0,9220100.0,98.0,1
1997-04-10,97.75,97.75,95.5,96.75,8489200.0,96.75,1
1997-04-11,95.5,97.25,94.94,95.0,7504200.0,95.0,1
1997-04-14,94.75,97.38,93.38,97.38,7408400.0,97.375,1
1997-04-15,97.88,99.0,95.88,97.13,10554800.0,97.125,1
1997-04-16,96.63,98.5,96.25,98.25,5338800.0,98.25,1
1997-04-17,98.5,100.0,97.5,98.13,8978700.0,98.125,1
1997-04-18,104.0,107.63,103.0,107.63,28975100.0,107.625,1
1997-04-21,107.0,111.88,106.13,107.63,19463600.0,107.625,1
1997-04-22,107.63,110.81,107.5,110.63,10302600.0,110.625,1
1997-04-23,110.63,115.75,110.38,115.13,12851700.0,115.125,1
1997-04-24,116.63,117.88,112.75,114.13,14791500.0,114.125,1
1997-04-25,113.5,115.38,113.25,113.63,7320700.0,113.625,1
1997-04-28,113.75,115.06,111.63,114.88,8403000.0,114.875,1
1997-04-29,117.38,119.13,116.5,119.0,9244000.0,119.0,1
1997-04-30,118.63,122.63,118.38,121.5,11275500.0,121.5,1
1997-05-01,122.0,123.25,119.25,121.0,9039700.0,121.0,1
1997-05-02,122.0,123.5,118.94,120.75,12023600.0,120.75,1
1997-05-05,119.63,120.75,115.5,120.19,13856300.0,120.188,1
1997-05-06,119.38,119.75,116.38,117.31,9346300.0,117.312,1
1997-05-07,116.38,119.0,115.13,115.5,8816600.0,115.5,1
1997-05-08,115.25,118.13,115.13,116.38,6729300.0,116.375,1
1997-05-09,118.0,118.5,115.75,116.75,7299000.0,116.75,1
1997-05-12,117.5,118.5,117.0,118.13,5371800.0,118.125,1
1997-05-13,118.38,119.25,116.88,117.75,6226700.0,117.75,1
1997-05-14,118.38,118.63,115.63,115.88,7593100.0,115.875,1
1997-05-15,116.0,117.88,115.88,117.13,5233100.0,117.125,1
1997-05-16,116.38,117.0,114.88,115.44,7489200.0,115.438,1
1997-05-19,116.13,117.13,115.13,115.13,5704000.0,115.13,1
1997-05-20,115.88,119.25,115.25,119.13,8109600.0,119.125,1
1997-05-21,120.63,122.94,119.75,120.38,9577500.0,120.375,1
1997-05-22,121.0,121.63,119.75,120.63,4184800.0,120.625,1
1997-05-23,121.38,123.0,120.88,122.88,3613100.0,122.875,1
1997-05-27,122.75,127.38,122.38,126.63,8629500.0,126.625,1
1997-05-28,127.25,127.25,124.88,125.88,6530200.0,125.875,1
1997-05-29,127.25,129.06,125.0,125.88,6387900.0,125.875,1
1997-05-30,117.5,125.63,117.5,124.0,10417500.0,124.0,1
1997-06-02,125.0,125.5,123.13,124.38,4867400.0,124.375,1
1997-06-03,123.38,123.5,120.63,120.75,5248400.0,120.75,1
1997-06-04,120.63,122.25,118.25,119.19,6829900.0,119.188,1
