date,open,high,low,close,volume,average,barCount
2002-08-19,85.05,85.05,84.99,84.99,2000.0,84.99,1
2002-08-21,85.85,85.85,85.85,85.85,1000.0,85.85,1
2002-09-03,87.9,87.92,87.86,87.86,1800.0,87.86,1
2002-09-05,88.4,88.59,88.24,88.42,13200.0,88.42,1
2002-09-06,87.72,87.72,87.27,87.27,1900.0,87.27,1
2002-09-09,87.56,87.56,87.56,87.56,1000.0,87.56,1
2002-09-12,88.03,88.03,88.03,88.03,100.0,88.03,1
2002-09-13,88.77,88.77,88.77,88.77,100.0,88.77,1
2002-09-16,89.1,89.1,89.07,89.07,1300.0,89.07,1
2002-09-17,88.99,88.99,88.92,88.92,1100.0,88.92,1
2002-09-18,89.28,89.44,89.28,89.38,3000.0,89.38,1
2002-09-23,90.05,90.05,90.05,90.05,500.0,90.05,1
2002-09-24,90.56,90.68,90.56,90.63,20800.0,90.63,1
2002-09-25,89.95,89.95,89.95,89.95,2000.0,89.95,1
2002-09-26,89.14,89.14,88.76,88.76,1300.0,88.76,1
2002-09-30,90.55,90.55,90.55,90.55,300.0,90.55,1
2002-10-02,89.18,89.18,88.9,88.9,6500.0,88.9,1
2002-10-04,88.94,88.94,88.94,88.94,5000.0,88.94,1
2002-10-07,89.53,89.53,89.5,89.5,1200.0,89.5,1
2002-10-08,89.62,89.62,89.62,89.62,15000.0,89.62,1
2002-10-09,90.08,90.08,90.08,90.08,7000.0,90.08,1
2002-10-10,89.96,89.96,89.47,89.47,700.0,89.47,1
2002-10-11,89.18,89.18,89.18,89.18,20000.0,89.18,1
2002-10-15,86.77,86.77,86.77,86.77,2000.0,86.77,1
2002-10-16,86.12,86.12,86.12,86.12,20000.0,86.12,1
2002-10-17,85.37,85.37,85.3,85.3,5100.0,85.3,1
2002-10-18,85.01,85.01,84.89,84.89,2900.0,84.89,1
2002-10-21,85.01,85.01,84.65,84.65,1100.0,84.65,1
2002-10-22,84.48,84.48,84.48,84.48,12100.0,84.48,1
2002-10-23,84.57,84.57,84.38,84.38,1500.0,84.38,1
2002-10-28,85.47,85.52,85.41,85.52,5100.0,85.52,1
2002-10-29,86.11,86.62,86.11,86.62,3500.0,86.62,1
2002-10-30,86.4,86.4,86.4,86.4,300.0,86.4,1
2002-11-01,85.43,85.43,85.43,85.43,20000.0,85.43,1
2002-11-08,88.04,88.51,88.04,88.51,1000.0,88.51,1
2002-11-11,88.69,88.69,88.69,88.69,2400.0,88.69,1
2002-11-12,88.82,88.82,88.82,88.82,10000.0,88.82,1
2002-11-15,86.98,86.98,86.98,86.98,500.0,86.98,1
2002-11-27,85.44,85.44,85.07,85.07,1300.0,85.07,1
2002-12-03,85.52,85.52,85.52,85.52,1200.0,85.52,1
2002-12-04,85.65,85.65,85.65,85.65,400.0,85.65,1
2002-12-05,85.86,86.06,85.86,86.06,5400.0,86.06,1
2002-12-06,86.95,87.05,85.8,86.27,12600.0,86.27,1
2002-12-09,86.49,86.49,86.49,86.49,600.0,86.49,1
2002-12-10,86.55,86.67,86.55,86.67,2400.0,86.67,1
2002-12-12,87.47,87.6,87.47,87.6,1500.0,87.6,1
2002-12-13,86.84,86.84,86.8,86.8,5400.0,86.8,1
2002-12-18,86.61,86.61,86.51,86.51,600.0,86.51,1
2003-01-09,85.33,85.38,85.33,85.38,20300.0,85.38,1
2003-10-27,84.95,85.33,84.95,85.13,15800.0,85.13,1
2003-10-28,84.86,85.67,84.63,85.55,36100.0,85.55,1
2003-10-29,85.26,85.26,84.7,84.7,5700.0,84.7,1
2003-10-30,83.99,84.18,83.85,84.18,12500.0,84.18,1
2003-10-31,84.94,85.19,84.94,85.11,67100.0,85.11,1
2003-11-03,84.58,84.58,84.06,84.37,50000.0,84.37,1
2003-11-18,86.13,86.55,86.13,86.53,18400.0,86.53,1
2003-11-19,86.58,86.58,85.67,85.7,33300.0,85.7,1
2003-11-20,86.12,86.49,86.03,86.44,18800.0,86.44,1
2003-11-21,86.58,86.93,86.58,86.63,28600.0,86.63,1
2003-11-24,86.21,86.31,85.8,85.9,21800.0,85.9,1
2003-11-25,86.25,86.49,86.23,86.48,21400.0,86.48,1
2003-11-28,85.31,85.34,85.25,85.25,11500.0,85.25,1
2003-12-01,84.38,84.5,83.86,84.17,27400.0,84.17,1
2003-12-02,84.43,84.56,84.07,84.56,10700.0,84.56,1
2003-12-03,84.52,84.78,83.98,84.29,84600.0,84.29,1
2003-12-04,84.5,84.5,84.32,84.32,300.0,84.32,1
2003-12-05,85.31,86.11,85.19,85.9,33500.0,85.9,1
2003-12-08,85.56,85.57,85.1,85.1,30900.0,85.1,1
2003-12-09,85.5,85.7,84.41,84.65,47400.0,84.65,1
2003-12-10,84.79,84.8,84.6,84.8,38200.0,84.8,1
2003-12-11,84.41,85.33,84.41,85.33,12900.0,85.33,1
2003-12-12,85.5,85.79,85.5,85.62,67800.0,85.62,1
2003-12-15,85.36,85.42,85.23,85.23,3200.0,85.23,1
2003-12-16,85.65,85.79,85.65,85.79,6700.0,85.79,1
2003-12-17,86.3,86.54,86.25,86.32,36100.0,86.32,1
2003-12-18,86.63,87.05,86.43,87.05,65800.0,87.05,1
2003-12-19,86.91,86.92,86.72,86.72,8800.0,86.72,1
2003-12-22,87.34,87.34,86.66,86.77,3000.0,86.77,1
2003-12-23,86.57,86.7,86.04,86.06,36700.0,86.06,1
2003-12-24,86.46,86.46,86.44,86.44,4100.0,86.44,1
2003-12-26,86.97,87.0,86.97,87.0,12000.0,87.0,1
2003-12-29,86.75,86.75,86.2,86.24,7700.0,86.24,1
2003-12-30,85.7,86.1,85.6,85.74,35800.0,85.74,1
2003-12-31,85.41,85.55,85.4,85.55,7700.0,85.55,1
2004-01-02,84.95,84.95,84.16,84.4,19700.0,84.4,1
2004-01-05,84.08,84.22,84.02,84.22,12400.0,84.22,1
2004-01-06,84.55,85.38,84.55,85.27,25500.0,85.27,1
2004-01-07,85.27,85.7,85.27,85.7,13400.0,85.7,1
2004-01-08,85.45,85.59,85.29,85.44,53500.0,85.44,1
2004-01-09,86.83,87.0,86.01,86.94,99500.0,86.94,1
2004-01-12,86.85,87.38,86.85,86.96,52300.0,86.96,1
2004-01-13,86.7,87.38,86.7,87.38,35500.0,87.38,1
2004-01-14,87.3,87.9,87.3,87.9,39500.0,87.9,1
2004-01-15,87.85,88.25,87.82,88.25,54200.0,88.25,1
2004-01-16,88.58,88.58,87.85,87.93,23600.0,87.93,1
2004-01-20,87.7,87.88,87.57,87.6,6600.0,87.6,1
2004-01-21,87.58,87.69,87.58,87.69,4000.0,87.69,1
2004-01-22,88.07,88.4,88.07,88.4,19600.0,88.4,1
2004-01-23,88.67,88.82,87.39,87.56,22400.0,87.56,1
2004-01-26,87.23,87.23,86.74,86.74,6500.0,86.74,1
2004-01-27,86.79,87.37,86.79,87.28,29800.0,87.28,1
2004-01-28,87.52,87.77,85.9,86.54,81300.0,86.54,1
2004-01-29,86.33,86.55,86.1,86.5,30400.0,86.5,1
2004-01-30,87.0,87.17,86.9,87.17,6400.0,87.17,1
2004-02-02,86.5,86.81,86.44,86.47,17100.0,86.47,1
2004-02-03,86.94,86.95,86.6,86.91,55800.0,86.91,1
2004-02-04,86.86,86.86,86.5,86.77,21200.0,86.77,1
2004-02-05,86.79,87.08,86.3,86.44,65400.0,86.44,1
2004-02-06,87.14,87.3,87.14,87.3,12600.0,87.3,1
2004-02-09,87.5,87.6,87.45,87.56,17800.0,87.56,1
2004-02-10,87.26,87.29,87.09,87.16,5800.0,87.16,1
2004-02-11,86.91,88.09,86.91,87.8,74900.0,87.8,1
2004-02-12,87.86,87.93,87.32,87.37,22600.0,87.37,1
2004-02-13,87.93,87.93,87.64,87.7,14400.0,87.7,1
2004-02-17,87.64,87.86,87.59,87.7,25300.0,87.7,1
2004-02-18,88.07,88.14,87.71,87.72,10400.0,87.72,1
2004-02-19,87.55,87.89,87.51,87.83,22100.0,87.83,1
2004-02-20,87.63,87.63,87.22,87.29,110900.0,87.29,1
2004-02-23,87.5,87.79,87.5,87.79,34600.0,87.79,1
2004-02-24,88.0,88.34,87.88,87.95,24800.0,87.95,1
2004-02-25,88.2,88.33,88.04,88.04,66700.0,88.04,1
2004-02-26,87.92,87.92,87.61,87.72,26300.0,87.72,1
2004-02-27,88.25,88.61,88.0,88.61,79700.0,88.61,1
2004-03-01,88.45,88.49,88.04,88.27,60800.0,88.27,1
2004-03-02,87.99,87.99,87.45,87.76,52000.0,87.76,1
2004-03-03,87.39,87.61,87.11,87.56,56500.0,87.56,1
2004-03-04,87.38,87.94,87.36,87.94,16900.0,87.94,1
2004-03-05,89.86,89.94,89.52,89.55,279800.0,89.55,1
2004-03-08,90.1,90.28,90.0,90.16,144400.0,90.16,1
2004-03-09,90.24,90.79,90.19,90.75,262000.0,90.75,1
2004-03-10,90.52,90.92,90.5,90.63,227800.0,90.63,1
2004-03-11,91.01,91.04,90.15,90.79,297000.0,90.79,1
2004-03-12,90.63,90.79,90.27,90.27,126400.0,90.27,1
2004-03-15,90.5,90.59,90.25,90.4,76100.0,90.4,1
2004-03-16,90.29,91.15,90.11,91.11,133600.0,91.11,1
2004-03-17,91.43,91.44,90.96,90.99,138500.0,90.99,1
2004-03-18,90.77,91.06,90.46,90.61,160300.0,90.61,1
2004-03-19,90.42,90.55,90.21,90.32,23400.0,90.32,1
2004-03-22,90.68,90.97,90.62,90.97,110700.0,90.97,1
2004-03-23,90.75,91.06,90.75,91.0,77900.0,91.0,1
2004-03-24,91.12,91.2,90.95,91.08,49700.0,91.08,1
2004-03-25,90.76,90.92,90.65,90.73,158900.0,90.73,1
2004-03-26,90.48,90.56,89.66,89.83,75100.0,89.83,1
2004-03-29,89.11,89.23,88.93,89.21,160500.0,89.21,1
2004-03-30,89.32,89.41,89.11,89.11,116100.0,89.11,1
2004-03-31,89.32,89.6,89.32,89.58,82900.0,89.58,1
2004-04-01,88.98,89.0,88.55,88.9,117600.0,88.9,1
2004-04-02,87.13,87.13,86.46,86.67,592800.0,86.67,1
2004-04-05,86.34,86.34,85.93,86.0,101300.0,86.0,1
2004-04-06,86.32,86.42,86.26,86.42,82100.0,86.42,1
2004-04-07,86.5,86.78,86.3,86.32,79200.0,86.32,1
2004-04-08,86.1,86.4,86.0,86.05,152700.0,86.05,1
2004-04-12,85.82,85.82,85.65,85.75,48800.0,85.75,1
2004-04-13,84.93,85.1,84.8,84.8,145500.0,84.8,1
2004-04-14,84.0,84.73,84.0,84.73,288500.0,84.73,1
2004-04-15,84.68,84.77,84.18,84.25,94700.0,84.25,1
2004-04-16,84.71,84.83,84.45,84.64,52700.0,84.64,1
2004-04-19,84.82,84.91,84.3,84.35,77300.0,84.35,1
2004-04-20,84.22,84.4,83.61,83.61,64400.0,83.61,1
2004-04-21,83.83,84.27,83.75,84.0,105400.0,84.0,1
2004-04-22,84.28,84.56,84.25,84.56,20700.0,84.56,1
2004-04-23,84.05,84.3,83.77,84.05,89000.0,84.05,1
2004-04-26,84.15,84.26,84.06,84.26,15600.0,84.26,1
2004-04-27,84.37,84.5,84.09,84.5,144800.0,84.5,1
2004-04-28,84.31,84.36,83.64,83.64,64200.0,83.64,1
2004-04-29,83.75,84.09,83.19,83.44,167000.0,83.44,1
2004-04-30,83.52,83.77,83.3,83.65,156200.0,83.65,1
2004-05-03,83.31,83.57,83.29,83.37,29200.0,83.37,1
2004-05-04,83.58,83.86,82.8,82.95,335300.0,82.95,1
2004-05-05,83.23,83.23,82.5,82.55,170500.0,82.55,1
2004-05-06,82.6,82.63,82.4,82.43,193600.0,82.43,1
2004-05-07,81.45,81.5,81.13,81.33,355200.0,81.33,1
2004-05-10,81.49,81.59,81.13,81.21,93900.0,81.21,1
2004-05-11,81.18,81.5,81.18,81.45,67800.0,81.45,1
2004-05-12,81.32,81.4,80.97,80.97,171400.0,80.97,1
2004-05-13,80.92,80.92,80.56,80.61,101800.0,80.61,1
2004-05-14,81.0,81.35,80.8,81.24,354600.0,81.24,1
2004-05-17,81.87,82.03,81.72,82.03,159100.0,82.03,1
2004-05-18,81.68,81.89,81.6,81.84,69500.0,81.84,1
2004-05-19,81.35,81.4,81.24,81.24,20800.0,81.24,1
2004-05-20,81.74,82.07,81.73,82.03,132400.0,82.03,1
2004-05-21,82.3,82.34,81.64,81.72,204400.0,81.72,1
2004-05-24,81.8,82.06,81.74,81.98,42200.0,81.98,1
2004-05-25,82.29,82.31,82.06,82.15,57200.0,82.15,1
2004-05-26,82.4,82.69,82.37,82.69,40900.0,82.69,1
2004-05-27,83.03,83.33,82.89,83.3,112000.0,83.3,1
2004-05-28,83.23,83.28,82.75,83.15,71300.0,83.15,1
2004-06-01,82.3,82.3,81.75,82.07,59600.0,82.07,1
2004-06-02,81.95,82.07,81.76,81.82,55900.0,81.82,1
2004-06-03,81.71,82.05,81.71,82.05,85800.0,82.05,1
2004-06-04,82.0,82.0,81.51,81.54,88600.0,81.54,1
2004-06-07,81.29,81.55,81.28,81.5,46400.0,81.5,1
2004-06-08,81.2,81.68,81.08,81.68,45800.0,81.68,1
2004-06-09,81.45,81.45,81.01,81.29,20700.0,81.29,1
2004-06-10,81.31,81.56,81.22,81.56,34400.0,81.56,1
2004-06-14,81.21,81.21,80.81,80.82,94800.0,80.82,1
2004-06-15,81.81,82.62,81.81,82.53,262300.0,82.53,1
2004-06-16,82.04,82.3,82.01,82.23,72100.0,82.23,1
2004-06-17,82.09,82.77,81.97,82.77,86500.0,82.77,1
2004-06-18,82.76,82.77,82.41,82.55,37100.0,82.55,1
2004-06-21,82.58,82.74,82.49,82.59,74200.0,82.59,1
2004-06-22,82.49,82.53,82.38,82.38,6700.0,82.38,1
2004-06-23,82.25,82.6,82.2,82.59,32500.0,82.59,1
2004-06-24,83.22,83.31,83.0,83.04,301300.0,83.04,1
2004-06-25,82.97,83.13,82.89,83.13,163000.0,83.13,1
2004-06-28,82.84,82.84,82.23,82.3,179600.0,82.3,1
2004-06-29,82.36,82.75,82.27,82.75,14200.0,82.75,1
2004-06-30,83.08,83.7,82.92,83.61,405400.0,83.61,1
2004-07-01,83.29,83.5,82.93,83.4,188400.0,83.4,1
2004-07-02,84.66,84.68,84.31,84.39,452800.0,84.39,1
2004-07-06,84.52,84.54,84.2,84.21,38100.0,84.21,1
2004-07-07,84.26,84.4,84.18,84.2,88800.0,84.2,1
2004-07-08,84.41,84.53,84.23,84.27,189300.0,84.27,1
2004-07-09,84.22,84.4,84.1,84.32,207000.0,84.32,1
2004-07-12,84.53,84.65,84.44,84.5,201500.0,84.5,1
2004-07-13,84.22,84.23,83.97,84.23,60000.0,84.23,1
2004-07-14,84.3,84.35,84.18,84.34,54700.0,84.34,1
2004-07-15,84.35,84.37,84.2,84.37,213100.0,84.37,1
2004-07-16,84.9,85.48,84.9,85.46,264800.0,85.46,1
2004-07-19,85.44,85.57,85.38,85.5,69600.0,85.5,1
2004-07-20,85.32,85.38,84.69,84.82,327500.0,84.82,1
2004-07-21,84.41,84.56,84.22,84.5,154800.0,84.5,1
2004-07-22,84.67,84.85,84.6,84.64,53700.0,84.64,1
2004-07-23,84.86,84.97,84.86,84.97,39400.0,84.97,1
2004-07-26,84.73,84.74,84.53,84.6,85800.0,84.6,1
2004-07-27,84.4,84.4,83.42,83.42,121200.0,83.42,1
2004-07-28,83.3,83.49,83.04,83.45,91000.0,83.45,1
2004-07-29,83.29,83.64,83.29,83.61,135800.0,83.61,1
