scenario,start_date,end_date
afc,1997-07-01,1998-12-31
russian_default_ltcm,1998-08-01,1998-10-31
dot_com,2000-03-01,2002-10-31
gfc,2007-08-01,2009-06-30
flash_crash,2010-05-06,2010-05-07
fukushima_meltdown,2011-03-01,2011-04-30
sp_downgrade,2011-08-01,2011-08-31
euro_debt_crisis,2014-08-01,2014-12-31
taper_tantrum,2013-05-01,2013-09-30
a50_turbulence,2015-06-01,2016-02-29
brexit,2016-06-01,2016-06-30
us_presidential_election,2016-11-01,2016-11-30
volmageddon,2018-02-01,2018-02-28
covid19,2020-03-01,2020-12-31
global_inflation,2022-01-01,2023-12-31
fitch_downgrade,2023-07-01,2023-08-31
carry_trade_unwind,2024-08-01,2024-08-31
trump_tariffs,2025-01-01,2025-05-31
gold_silver_bust,2026-01-01,2026-01-31
